name,poi
BELDEN TIMOTHY N,0.5049635940805335
BOWEN JR RAYMOND M,0.4745395223274482
HANNON KEVIN P,0.9254289446128882
DELAINEY DAVID W,0.09066703844226745
CAUSEY RICHARD A,0.9331326397544454
HICKERSON GARY J,0.3689883086652679
FREVERT MARK A,0.9375136443312497
CHAN RONNIE,0.04854109931835494
DONAHUE JR JEFFREY M,0.6116053866231549
REYNOLDS LAWRENCE,0.11415598894624027
HORTON STANLEY C,0.03189019783093669
LEWIS RICHARD,0.031939440173381455
SHERRICK JEFFREY B,0.062055832111724475
MEYER JEROME J,0.03461613832034782
DERRICK JR. JAMES V,0.42463475570673936
PIRO JIM,0.04043153945986346
DETMERING TIMOTHY J,0.3047722935203142
KISHKILL JOSEPH G,0.5862747134857825
BAY FRANKLIN R,0.0626030040353428
PRENTICE JAMES,0.03195017605818188
TOTAL,0.0
FALLON JAMES B,0.8324654133242123
METTS MARK,0.15340137350711255
WODRASKA JOHN,0.039956200054878134
MORDAUNT KRISTINA M,0.042667273776974136
CARTER REBECCA C,0.09204650973880321
BHATNAGAR SANJAY,0.1428532227686454
WALTERS GARETH W,0.042536234090753536
BIBI PHILIPPE A,0.5796399984663969
SHERRIFF JOHN R,0.15759201353360514
GIBBS DANA R,0.04069497275117091
LINDHOLM TOD A,0.279276497678858
MCMAHON JEFFREY,0.8720674218818366
