name,poi
BELDEN TIMOTHY N,0.26
BOWEN JR RAYMOND M,0.33
HANNON KEVIN P,0.5
DELAINEY DAVID W,0.14
CAUSEY RICHARD A,0.56
HICKERSON GARY J,0.3
FREVERT MARK A,0.69
CHAN RONNIE,0.01
DONAHUE JR JEFFREY M,0.23
REYNOLDS LAWRENCE,0.03
HORTON STANLEY C,0.08
LEWIS RICHARD,0.0
SHERRICK JEFFREY B,0.03
MEYER JEROME J,0.0
DERRICK JR. JAMES V,0.42
PIRO JIM,0.01
DETMERING TIMOTHY J,0.07
KISHKILL JOSEPH G,0.31
BAY FRANKLIN R,0.16
PRENTICE JAMES,0.0
TOTAL,0.0
FALLON JAMES B,0.42
METTS MARK,0.06
WODRASKA JOHN,0.02
MORDAUNT KRISTINA M,0.02
CARTER REBECCA C,0.11
BHATNAGAR SANJAY,0.42
WALTERS GARETH W,0.03
BIBI PHILIPPE A,0.29
SHERRIFF JOHN R,0.33
GIBBS DANA R,0.01
LINDHOLM TOD A,0.03
MCMAHON JEFFREY,0.41
