name,poi
BELDEN TIMOTHY N,0.15890412
BOWEN JR RAYMOND M,0.100233585
HANNON KEVIN P,0.21209677
DELAINEY DAVID W,0.11546482
CAUSEY RICHARD A,0.19598804
HICKERSON GARY J,0.13184266
FREVERT MARK A,0.1988578
CHAN RONNIE,0.07702413
DONAHUE JR JEFFREY M,0.11536783
REYNOLDS LAWRENCE,0.1566655
HORTON STANLEY C,0.08907768
LEWIS RICHARD,0.08263938
SHERRICK JEFFREY B,0.08263938
MEYER JEROME J,0.07702413
DERRICK JR. JAMES V,0.21209677
PIRO JIM,0.07702413
DETMERING TIMOTHY J,0.10574049
KISHKILL JOSEPH G,0.19618762
BAY FRANKLIN R,0.09872449
PRENTICE JAMES,0.08263938
TOTAL,0.0
FALLON JAMES B,0.1988578
METTS MARK,0.12719804
WODRASKA JOHN,0.13695244
MORDAUNT KRISTINA M,0.13253841
CARTER REBECCA C,0.08299226
BHATNAGAR SANJAY,0.105830394
WALTERS GARETH W,0.09831188
BIBI PHILIPPE A,0.18610594
SHERRIFF JOHN R,0.17018187
GIBBS DANA R,0.08263938
LINDHOLM TOD A,0.19618762
MCMAHON JEFFREY,0.1988578
